no,field,type,desc
41,TrafficwayDescriptionCode ,Numeric ,Code for description of trafficway.
42,RoadwayFunctionalClassCode ,Numeric ,Code for functional class of roadway.
43,WorkZoneRelated ,Text ,Crash did/did not occur in or in relation to (traffic cuing) a work zone.  Self-coding.
44,City_Township_Flag ,Text,
45,TSCrashCoordinateX ,Floating , State plane X coordinates.
46,TSCrashCoordinateY ,Floating , State plane Y coordinates.
47,TSCrashLatitude ,Text,
48,TSCrashLongitude ,Text,
49,CrashReportCounty ,Text , Text for field 3.
50,DayOfWeek ,Text , Text for field 8
51,TypeOfFirstCrash ,Text , Text for field 13.
52,CityName ,Text , Text for field 10.
53,CityClass ,Text , Text for field 11.
54,ClassOfTrafficway ,Text , Text for field 24.
55,Cause1 ,Text , Text for field 31.
56,Cause2 ,Text , Text for field 32.
57,TrafficControlDevice ,Text , Text for field 26.
58,TrafficControlDeviceCond ,Text , Text for field 35.
59,RoadSurfaceCond ,Text , Text for field 27.
60,RoadDefects ,Text , Text for field 28.
61,CrashInjurySeverity ,Text , Text for field 68.
62,LightingCond ,Text , Text for field 29.
63,WeatherCond ,Text , Text for field 30.
64,RoadAlignment ,Text , Text for field 40.
65,TrafficwayDescrip ,Text , Text for field 41
66,RoadwayFunctionalClass ,Text , Text for field 42
67,InvestigatingAgencyDescrip ,Text , Text for field 21
68,CrashSeverityCd ,Text , Code for the most severe injury in crash
69,DamagedProperty1 ,Text , Short description of property damaged by the crash other than vehicles
70,DamagedProperty2 ,Text , Short description of property damaged by the crash other than vehicles
71,AgencyReportYear ,Text , Four digit year in which the investigating law enforcement agency dispatched the crash
72,AgencyReportNumber ,Text , Internal tracking number assigned by the investigating law enforcement agency
73,SFE ,Text , Bar code number from the police report
74,DidCrashOccurInWorkZone ,Text , Did crash occur in/in relation to (traffic cuing) a designated work zone.   
75,WorkZoneType ,Text , Type of work zone crash occurred in if # 74 is “Yes”.
76,WereWorkersPresent ,Text , Workers were/were not present in the work zone at the time of the crash.   
77,WorkZone ,Text ," For reporting purposes, this field combines the text of Road Defect 2, 3, 4, or 5 (prior to 2013), or Work Zone Type (2013 or later); otherwise these would have to be queried separately if parameter included years prior to and after 2013."
